floor,floors_count,rooms_count,total_meters,price,underground,price_per_meter
7,10,2,43.3,23900000,True,551963
13,19,1,50.2,23850000,True,475100
9,19,2,71.2,26999999,True,379213
8,17,1,36.2,27000000,True,745856
3,21,2,70.0,28990000,True,414143
7,13,1,50.8,30000000,True,590551
2,9,2,78.65,29879999,True,379911
22,26,2,67.0,30490000,True,455075
14,25,2,47.0,30500000,True,648936
5,46,1,44.8,31989466,True,714051
8,22,2,67.1,31987039,True,476707
4,29,1,57.9,33900000,True,585492
10,11,2,68.0,40600000,True,597059
6,28,2,85.0,56500000,True,664706
3,3,2,107.8,70000000,True,649351
3,3,1,56.6,6163000,False,108887
10,20,2,51.96,6545401,False,125970
25,25,2,44.0,8300000,True,188636
3,10,1,38.3,8500000,False,221932
7,16,1,31.0,3400000,False,109677
6,25,1,36.5,3700000,False,101370
9,17,1,38.0,4500000,False,118421
9,18,2,64.0,4730000,False,73906
10,16,1,32.6,4800000,False,147239
1,5,1,32.0,5990000,False,187188
8,20,2,58.1,6100500,False,105000
2,21,2,49.01,6371300,False,130000
8,24,2,43.4,6796440,False,156600
6,11,1,35.0,6990000,True,199714
2,7,1,33.8,7490000,True,221598
8,9,2,54.9,8756550,False,159500
1,21,2,57.9,8809133,False,152144
5,9,2,50.0,10300000,True,206000
4,5,2,60.0,12400000,True,206667
16,25,1,63.68,15283200,True,240000
2,5,2,47.7,15950000,True,334382
4,15,2,64.9,18656000,False,287458
5,6,2,42.0,21000000,False,500000
5,9,2,53.0,24490000,True,462075
2,3,2,88.0,70000000,False,795455
3,9,1,36.3,3750000,False,103306
1,5,1,30.9,3850000,False,124595
6,9,1,33.3,4950000,False,148649
1,4,1,36.3,5450000,False,150138
10,10,1,40.7,5500000,False,135135
1,4,2,55.2,6490000,False,117572
1,1,2,60.0,6500000,False,108333
14,17,1,42.0,6990000,False,166429
4,9,2,64.3,7700000,False,119751
14,14,1,61.6,8300000,False,134740
1,3,2,60.0,8500000,False,141667
5,30,1,28.4,8600000,True,302817
14,17,2,49.0,8950000,False,182653
5,7,1,34.6,9000000,True,260116
1,6,2,40.0,10000000,True,250000
11,12,1,35.0,10200000,True,291429
11,17,2,51.0,10400000,False,203922
9,29,1,30.1,11750000,True,390365
2,12,1,41.0,11700000,True,285366
13,25,2,45.6,12890000,True,282675
8,9,1,32.3,12860000,True,398142
16,17,1,27.0,13000000,True,481481
4,15,1,32.4,14000000,True,432099
8,9,2,40.0,14200000,True,355000
17,17,2,52.9,15000000,True,283554
15,21,2,37.26,15800000,True,424047
19,45,2,66.0,16250000,True,246212
5,9,1,36.8,17810000,True,483967
8,17,2,54.1,18700000,True,345656
4,4,1,42.1,19000000,True,451306
11,16,2,68.0,19800000,True,291176
10,33,2,53.0,20499000,True,386774
7,8,2,60.0,21300000,True,355000
2,16,1,45.56,21294744,True,467400
8,21,1,44.5,22100000,True,496629
10,21,2,49.8,22146060,True,444700
4,5,2,57.5,23500000,True,408696
4,33,1,42.9,23600000,True,550117
1,6,2,76.4,23700000,True,310209
3,5,1,32.7,23960000,True,732722
10,46,2,46.0,24300000,True,528261
4,4,2,36.7,25000000,True,681199
4,9,2,47.0,24900000,True,529787
6,22,1,41.5,25700000,True,619277
3,42,2,44.4,26000000,True,585586
9,37,2,45.0,26000000,True,577778
6,8,2,53.5,27000000,True,504673
15,34,2,45.0,27500000,True,611111
7,20,2,74.32,28656157,True,385578
3,41,2,66.0,29300000,True,443939
15,20,2,64.4,29500000,True,458075
10,21,2,76.3,29500000,True,386632
9,55,2,66.0,29700000,True,450000
24,33,2,44.5,30000000,True,674157
8,19,2,64.0,29800000,True,465625
2,7,2,45.5,31500000,True,692308
4,25,2,63.8,31538535,True,494334
8,9,2,69.1,32500000,True,470333
6,9,2,54.0,33000000,True,611111
33,41,2,67.0,34000000,True,507463
6,8,2,57.0,34500000,True,605263
12,41,2,54.0,35000000,True,648148
6,9,2,52.3,35000000,True,669216
2,4,2,65.8,39999999,True,607903
4,15,1,48.2,41471280,True,860400
19,41,2,75.0,41500000,True,553333
9,13,2,46.4,42000000,True,905172
6,33,2,65.2,43900000,True,673313
16,41,2,56.0,44300000,True,791071
15,46,2,66.1,45500000,True,688351
19,24,2,55.3,50000000,True,904159
8,9,2,102.0,56000000,True,549020
9,34,2,62.9,58000000,True,922099
51,75,1,123.0,85000000,True,691057
8,10,1,38.0,3750000,False,98684
12,16,1,39.0,4250000,False,108974
8,17,1,38.0,4480000,False,117895
2,10,2,59.0,4608240,False,78106
3,8,1,49.5,4800000,False,96970
1,10,2,43.2,4978000,False,115231
14,18,1,40.95,4953722,False,120970
7,19,1,43.2,5680800,False,131500
4,5,1,48.1,5747850,False,119498
3,3,2,56.2,7193600,False,128000
2,9,2,48.2,7327120,False,152015
2,3,2,57.44,7352320,False,128000
7,9,2,54.0,7550000,True,139815
5,8,1,30.0,7700000,False,256667
5,17,2,50.8,7924800,False,156000
7,13,1,49.83,8271780,False,166000
6,6,1,29.0,8500000,False,293103
12,17,2,52.27,8697728,False,166400
2,25,1,35.85,9213450,True,257000
2,14,2,48.6,9252000,True,190370
1,8,1,35.0,9500000,False,271429
22,26,2,75.0,9700000,False,129333
15,17,2,61.49,9848238,False,160160
16,22,1,35.4,9950000,True,281073
17,24,1,58.0,10000000,False,172414
5,16,2,71.22,9970000,False,139989
2,10,1,35.79,11273850,False,315000
8,19,2,48.75,11490000,False,235692
5,16,2,65.3,11490000,False,175957
2,20,1,36.05,12978000,False,360000
4,7,1,48.8,15420236,True,315988
3,5,1,42.97,15254350,True,355000
18,25,2,89.1,15585600,True,174923
2,8,2,61.61,16429000,True,266661
1,5,2,99.1,17150000,True,173058
4,25,2,62.03,18609000,False,300000
17,26,1,50.0,19000000,False,380000
2,20,2,53.92,19411200,False,360000
2,10,2,69.56,21911400,False,315000
12,24,2,66.7,23990000,True,359670
6,7,1,55.7,23951000,True,430000
5,7,1,51.71,25855000,False,500000
5,9,2,111.9,27982500,False,250067
15,26,2,110.0,31500000,False,286364
1,5,1,29.4,1700000,False,57823
5,5,2,44.0,2850000,False,64773
9,19,1,39.6,3350000,False,84596
6,18,1,37.0,3660000,True,98919
10,21,1,37.4,3650000,False,97594
10,19,1,37.4,3650000,False,97594
4,9,2,48.0,3750000,False,78125
2,5,1,31.0,5299000,False,170935
18,18,2,61.1,5400000,False,88380
7,12,2,51.0,6499000,False,127431
8,10,2,56.0,6600000,False,117857
3,16,2,68.8,6800000,False,98837
5,19,2,60.9,6990000,False,114778
3,3,2,56.31,7207680,False,128000
1,6,2,58.8,7800000,False,132653
15,27,2,41.4,8610000,True,207971
19,28,2,64.0,13500000,True,210938
8,9,2,44.0,15500000,True,352273
25,38,1,34.7,17500000,True,504323
11,14,2,56.0,19500000,True,348214
22,29,2,60.6,19900000,True,328383
5,9,2,88.67,22167500,False,250000
15,24,2,38.1,23650000,True,620735
4,17,1,34.0,24000000,True,705882
8,11,2,41.0,25500000,True,621951
27,33,2,47.4,28500000,True,601266
4,13,2,52.0,29800000,True,573077
6,10,1,45.7,39490000,True,864114
12,13,1,72.7,48872379,True,672247
9,9,1,24.0,3100000,False,129167
1,2,2,41.6,3378000,True,81202
4,5,1,32.7,3500000,True,107034
5,5,1,32.4,3700000,False,114198
3,4,1,28.1,3800000,False,135231
3,9,1,29.5,3899000,True,132169
12,25,1,38.0,4100000,False,107895
4,10,1,37.2,4500000,True,120968
4,5,1,31.6,4690000,True,148418
9,9,1,34.4,4700000,True,136628
10,24,1,42.0,4950000,False,117857
2,5,2,48.0,4999000,True,104146
1,5,1,30.5,5000000,True,163934
8,9,1,29.5,5100000,False,172881
5,5,2,44.2,5190000,True,117421
6,18,1,41.0,5200000,False,126829
3,5,2,43.5,5200000,True,119540
2,24,1,36.96,5596386,False,151417
4,5,2,42.9,5699000,True,132844
5,25,1,33.4,5674660,False,169900
4,16,2,36.0,5700000,False,158333
10,25,1,37.54,5740000,False,152904
15,21,1,35.8,5763800,False,161000
2,5,2,47.8,6000000,True,125523
5,13,1,34.1,6000000,True,175953
5,5,1,32.1,6299000,True,196231
1,10,1,36.1,6390000,True,177008
9,10,1,42.0,6600000,True,157143
7,19,1,32.0,6650000,True,207812
4,5,2,43.2,6790000,True,157176
10,10,1,36.5,6900000,True,189041
6,18,1,38.7,6990000,True,180620
23,26,2,56.9,7055600,False,124000
6,8,2,38.0,7149000,True,188132
5,16,1,47.5,7140000,True,150316
16,28,1,33.0,7199000,True,218152
6,9,2,51.8,7390000,True,142664
5,9,2,53.8,7390000,True,137361
15,19,1,30.5,7590000,True,248852
5,9,1,34.7,7690000,True,221614
5,6,1,38.6,7900000,True,204663
10,12,2,44.0,8000000,False,181818
2,5,1,54.6,8100000,True,148352
8,20,1,36.1,8190000,True,226870
4,9,2,54.2,8250000,True,152214
3,10,1,36.7,8500000,True,231608
4,5,1,34.0,8600000,True,252941
4,5,2,47.1,8599000,True,182569
14,19,1,39.41,8699000,True,220731
2,24,1,40.0,8950000,True,223750
